step,distance_m,throughput_gbps,handover,band
0,25.96567282403459,252.46927619497748,False,220.0
1,26.319269957881694,252.46927619497748,False,220.0
2,26.868666580457415,252.46927619497748,False,220.0
3,27.58752259788254,252.46927619497748,False,220.0
4,28.467711791717782,252.46927619497748,False,220.0
5,29.502191563513566,252.46927619497748,False,220.0
6,30.67245745926134,252.46927619497748,False,220.0
7,31.972499177242277,252.46927619497748,False,220.0
8,33.382974650025155,252.46927619497748,False,220.0
9,34.887442952986504,252.46927619497748,False,220.0
10,36.46800449908906,252.46927619497748,False,220.0
11,38.12867111385378,252.46927619497748,False,220.0
12,39.846245601781824,252.46927619497748,False,220.0
13,41.62326206662076,252.46927619497748,False,220.0
14,43.45576924180436,252.46927619497748,False,220.0
15,45.335401935931436,252.46927619497748,False,220.0
16,47.25359923621654,252.46927619497748,False,220.0
17,49.1959216340886,252.46927619497748,False,220.0
18,51.16259902138341,252.46927619497748,False,220.0
19,53.16787891301257,252.46927619497748,False,220.0
20,55.192838102865096,252.46927619497748,False,220.0
21,57.23462249783819,252.46927619497748,False,220.0
22,59.29160937778144,252.46927619497748,False,220.0
23,61.36185375373019,252.46927619497748,False,220.0
24,63.447316564733114,252.46927619497748,False,220.0
25,65.54101718689795,252.46927619497748,False,220.0
26,67.64949303312746,252.46927619497748,False,220.0
27,69.76373374482098,252.46927619497748,False,220.0
28,71.89012038310199,252.46927619497748,False,220.0
29,74.02708378017847,252.46927619497748,False,220.0
30,76.17526836701491,252.46927619497748,False,220.0
31,78.33381520811008,252.46927619497748,False,220.0
32,80.4988472291897,252.46927619497748,False,220.0
33,82.6707561550535,252.46927619497748,False,220.0
34,84.84786180689467,252.46927619497748,False,220.0
35,87.03060648768863,252.46927619497748,False,220.0
36,89.21585253758651,252.46927619497748,False,220.0
37,91.40190792644896,252.46927619497748,False,220.0
38,93.58629008799325,252.46927619497748,False,220.0
39,95.77784303136653,252.46927619497748,False,220.0
40,97.96846146630291,252.46927619497748,False,220.0
41,100.1664346189756,252.46927619497748,False,220.0
42,102.36814746333677,252.46927619497748,False,220.0
43,104.57817805621684,252.46927619497748,False,220.0
44,106.79564075450476,252.46927619497748,False,220.0
45,109.01478158390941,252.46927619497748,False,220.0
46,111.24953139625907,252.46927619497748,False,220.0
47,113.48278616268185,252.46927619497748,False,220.0
48,115.7153866507386,252.46927619497748,False,220.0
49,117.95245479332831,252.46927619497748,False,220.0
50,120.19200070170929,252.46927619497748,False,220.0
51,122.42846288431707,252.46927619497748,False,220.0
52,124.6747762896541,252.46927619497748,False,220.0
53,126.92877243700708,252.46927619497748,False,220.0
54,129.1838937221458,252.46927619497748,False,220.0
55,131.43861001417017,252.46927619497748,False,220.0
56,133.69861338426455,252.46927619497748,False,220.0
57,135.95744845591514,252.46927619497748,False,220.0
58,138.2178604560179,252.46927619497748,False,220.0
59,140.48187865153068,252.46927619497748,False,220.0
60,142.7489178020209,252.46927619497748,False,220.0
61,145.0243726693867,252.46927619497748,False,220.0
62,147.3029434028239,252.46927619497748,False,220.0
63,149.5798429957867,252.46927619497748,False,220.0
64,151.85951732581688,252.46927619497748,False,220.0
65,154.14138483403255,252.46927619497748,False,220.0
66,156.42443134431053,252.46927619497748,False,220.0
67,158.70629326437887,252.46927619497748,False,220.0
68,160.9911557455535,252.46927619497748,False,220.0
69,163.2766972367868,252.46927619497748,False,220.0
70,165.56681381968144,252.46927619497748,False,220.0
71,167.86214758391876,252.46927619497748,False,220.0
72,170.15909917580203,252.46927619497748,False,220.0
73,172.4702460234299,252.46927619497748,False,220.0
74,174.78834828361337,252.46927619497748,False,220.0
75,177.11140507037567,252.46927619497748,False,220.0
76,179.43415976324562,252.46927619497748,False,220.0
