step,distance_m,throughput_gbps,handover,band
0,176.93518133457152,189.35195714623313,False,100.0
1,181.6365458680598,189.35195714623313,False,100.0
2,186.34605471160825,189.35195714623313,False,100.0
3,191.05304048126726,189.35195714623313,False,100.0
4,195.75773126721353,189.35195714623313,False,100.0
5,200.46453178345283,189.35195714623313,False,100.0
6,205.1718415766871,189.35195714623313,False,100.0
7,209.88463706266444,189.35195714623313,False,100.0
8,214.5927870351933,189.35195714623313,False,100.0
9,219.30801836308433,189.35195714623313,False,100.0
10,224.03426699454013,189.35195714623313,False,100.0
11,228.76188676341863,189.35195714623313,False,100.0
12,233.48629920274033,189.35195714623313,False,100.0
13,238.20929094776392,189.35195714623313,False,100.0
14,242.93810415115095,189.35195714623313,False,100.0
15,247.6683216747044,189.35195714623313,False,100.0
16,252.3970708806034,189.35195714623313,False,100.0
17,257.12566174673566,189.35195714623313,False,100.0
18,261.853526361739,189.35195714623313,False,100.0
19,266.58257879086733,189.35195714623313,False,100.0
20,271.3081253131476,189.35195714623313,False,100.0
21,276.0357238903422,189.35195714623313,False,100.0
22,280.77006724626807,189.35195714623313,False,100.0
23,285.50001768152066,189.35195714623313,False,100.0
24,290.237529026412,189.35195714623313,False,100.0
25,294.96848429258944,189.35195714623313,False,100.0
26,299.70712459587,189.35195714623313,False,100.0
27,304.44432894370277,189.35195714623313,False,100.0
28,309.17888800759806,189.35195714623313,False,100.0
29,313.9089688028742,189.35195714623313,False,100.0
30,318.63575754706744,189.35195714623313,False,100.0
31,323.3687942212997,189.35195714623313,False,100.0
32,328.10934803616084,189.35195714623313,False,100.0
33,332.84238787621774,189.35195714623313,False,100.0
34,337.5718725015802,189.35195714623313,False,100.0
35,342.3009140546104,189.35195714623313,False,100.0
36,347.03103548382626,189.35195714623313,False,100.0
37,351.7602479813712,189.35195714623313,False,100.0
38,356.48512100740606,189.35195714623313,False,100.0
39,361.2120513476601,189.35195714623313,False,100.0
40,365.9383646232707,189.35195714623313,False,100.0
41,370.66583253418526,189.35195714623313,False,100.0
42,375.394087833223,189.35195714623313,False,100.0
43,380.1223583036867,189.35195714623313,False,100.0
44,384.8600446137197,189.35195714623313,False,100.0
45,389.59844723574446,189.35195714623313,False,100.0
46,394.3478518469625,189.35195714623313,False,100.0
47,399.1040948648528,189.35195714623313,False,100.0
48,403.856313539955,189.35195714623313,False,100.0
49,408.60154188405704,189.35195714623313,False,100.0
50,413.3511141268664,187.9319799027208,False,100.0
51,418.1085546916516,189.35195714623313,False,100.0
52,422.8751314198621,189.35195714623313,False,100.0
53,427.64380772180135,189.35195714623313,False,100.0
54,432.4143885939529,189.35195714623313,False,100.0
55,437.1817638226287,189.35195714623313,False,100.0
56,441.9469312584804,189.35195714623313,False,100.0
57,446.70775870128955,189.35195714623313,False,100.0
58,451.4673220198222,189.35195714623313,False,100.0
59,456.23082370044676,189.35195714623313,False,100.0
60,460.99477336723976,189.35195714623313,False,100.0
61,465.7667694620863,189.35195714623313,False,100.0
62,470.5391828903162,189.35195714623313,False,100.0
63,475.32030324662117,189.35195714623313,False,100.0
64,480.1113730085648,189.35195714623313,False,100.0
65,484.90488450020956,189.35195714623313,False,100.0
66,489.7047968070067,189.35195714623313,False,100.0
67,494.5072473194909,189.35195714623313,False,100.0
68,499.3187141538092,189.35195714623313,False,100.0
69,504.131472947083,189.35195714623313,False,100.0
70,508.95910424323216,189.35195714623313,False,100.0
71,513.7979541316745,189.35195714623313,False,100.0
72,518.6441647277302,189.35195714623313,False,100.0
73,523.494006464576,189.35195714623313,False,100.0
74,528.3640640252544,188.87863027454307,False,100.0
75,533.2431744001508,189.35195714623313,False,100.0
76,538.131285465642,189.35195714623313,False,100.0
77,543.0319172796043,189.35195714623313,False,100.0
78,547.9386082847292,189.35195714623313,False,100.0
79,552.8573107752433,189.35195714623313,False,100.0
80,557.7885227205174,189.35195714623313,False,100.0
81,562.7394707449375,189.35195714623313,False,100.0
82,567.7039254973429,189.35195714623313,False,100.0
83,572.6843142174446,189.35195714623313,False,100.0
84,577.682137705883,189.35195714623313,False,100.0
85,582.7034359125668,189.35195714623313,False,100.0
86,587.7494026359483,189.35195714623313,False,100.0
