step,distance_m,throughput_gbps,handover,band
0,158.24727669722537,189.35195714623313,False,100.0
1,157.82666840454215,189.35195714623313,False,100.0
2,157.50622292392464,189.35195714623313,False,100.0
3,157.28464720126453,189.35195714623313,False,100.0
4,157.1699552941514,189.35195714623313,False,100.0
5,157.16085861543678,189.35195714623313,False,100.0
6,157.25211459007647,189.35195714623313,False,100.0
7,157.44617523485473,189.35195714623313,False,100.0
8,157.74375119526277,189.35195714623313,False,100.0
9,158.13999316400376,189.35195714623313,False,100.0
10,158.64274242537837,189.35195714623313,False,100.0
11,159.2564644263846,189.35195714623313,False,100.0
12,159.9750100289498,189.35195714623313,False,100.0
13,160.79347494070865,189.35195714623313,False,100.0
14,161.70214854326193,189.35195714623313,False,100.0
15,162.706449043742,189.35195714623313,False,100.0
16,163.80342101096204,189.35195714623313,False,100.0
17,164.99577113380388,189.35195714623313,False,100.0
18,166.2834628041414,189.35195714623313,False,100.0
19,167.66396438316914,189.35195714623313,False,100.0
20,169.13338681329685,189.35195714623313,False,100.0
21,170.6853780045012,189.35195714623313,False,100.0
22,172.3233373378832,189.35195714623313,False,100.0
23,174.04183579406683,189.35195714623313,False,100.0
24,175.84286265354433,189.35195714623313,False,100.0
25,177.7116444623685,189.35195714623313,False,100.0
26,179.66200643770105,189.35195714623313,False,100.0
27,181.683172663764,189.35195714623313,False,100.0
28,183.7762111177521,189.35195714623313,False,100.0
29,185.93717216449528,189.35195714623313,False,100.0
30,188.16138607764324,189.35195714623313,False,100.0
31,190.46259182070847,189.35195714623313,False,100.0
32,192.82696983821546,189.35195714623313,False,100.0
33,195.2437104174233,189.35195714623313,False,100.0
34,197.71156416189748,189.35195714623313,False,100.0
35,200.23437000474203,189.35195714623313,False,100.0
36,202.81878199888823,189.35195714623313,False,100.0
37,205.45049028695806,189.35195714623313,False,100.0
38,208.13296867587806,189.35195714623313,False,100.0
39,210.8628259174428,189.35195714623313,False,100.0
40,213.64664334261934,189.35195714623313,False,100.0
41,216.4707086363192,189.35195714623313,False,100.0
42,219.33877715897012,189.35195714623313,False,100.0
43,222.25696593516847,189.35195714623313,False,100.0
44,225.22158189698908,189.35195714623313,False,100.0
45,228.23157626684693,189.35195714623313,False,100.0
46,231.28542154164418,189.35195714623313,False,100.0
47,234.38322777699887,189.35195714623313,False,100.0
48,237.52265758550766,189.35195714623313,False,100.0
49,240.706784092187,189.35195714623313,False,100.0
50,243.92684599234678,189.35195714623313,False,100.0
51,247.1850101831251,189.35195714623313,False,100.0
52,250.47646909846685,189.35195714623313,False,100.0
53,253.80047075798797,189.35195714623313,False,100.0
54,257.159201193088,189.35195714623313,False,100.0
55,260.55190072643427,189.35195714623313,False,100.0
56,263.9788797230086,189.35195714623313,False,100.0
57,267.4361568970401,189.35195714623313,False,100.0
58,270.92296059731376,189.35195714623313,False,100.0
59,274.43988387186863,189.35195714623313,False,100.0
60,277.99427981789967,189.35195714623313,False,100.0
61,281.5846528595914,189.35195714623313,False,100.0
62,285.2121755191924,189.35195714623313,False,100.0
63,288.8715429791188,189.35195714623313,False,100.0
